"";"DecisionTreeClassifier_256_manual";"DecisionTreeClassifier_400_manual";"DecisionTreeClassifier_512_manual";"DecisionTreeClassifier_256_unet";"DecisionTreeClassifier_400_unet";"DecisionTreeClassifier_512_unet";"KNeighborsClassifier_256_manual";"KNeighborsClassifier_400_manual";"KNeighborsClassifier_512_manual";"KNeighborsClassifier_256_unet";"KNeighborsClassifier_400_unet";"KNeighborsClassifier_512_unet";"MLPClassifier_256_manual";"MLPClassifier_400_manual";"MLPClassifier_512_manual";"MLPClassifier_256_unet";"MLPClassifier_400_unet";"MLPClassifier_512_unet";"RandomForestClassifier_256_manual";"RandomForestClassifier_400_manual";"RandomForestClassifier_512_manual";"RandomForestClassifier_256_unet";"RandomForestClassifier_400_unet";"RandomForestClassifier_512_unet";"SVC_256_manual";"SVC_400_manual";"SVC_512_manual";"SVC_256_unet";"SVC_400_unet";"SVC_512_unet"
"lbp_59_mean";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"lbp_59_std";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"lbp_59_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mobilenetv2_128_mean";"";"";"";"0.113";"0.078";"0.073";"";"";"";"0.041";"0.04";"0.04";"";"";"";"0.495";"0.53";"0.484";"";"";"";"8.926";"6.618";"6.857";"";"";"";"0.227";"0.218";"0.224"
"mobilenetv2_128_std";"";"";"";"0.363";"0.307";"0.304";"";"";"";"0.392";"0.39";"0.38";"";"";"";"142.812";"133.666";"155.14";"";"";"";"200.692";"202.273";"200.533";"";"";"";"1.036";"0.904";"0.63"
"mobilenetv2_128_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"resnet50v2_2048_mean";"";"";"";"0.701";"0.921";"";"";"";"";"0.343";"0.375";"";"";"";"";"3.443";"3.518";"";"";"";"";"5.962";"3.077";"";"";"";"";"1.364";"1.257";""
"resnet50v2_2048_std";"";"";"";"2.613";"3.519";"";"";"";"";"1.939";"1.955";"";"";"";"";"554.486";"546.785";"";"";"";"";"227.742";"243.805";"";"";"";"";"6.774";"6.996";""
"resnet50v2_2048_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"resnet50v2_1024_mean";"";"";"";"0.073";"0.448";"";"";"";"";"0.213";"0.217";"";"";"";"";"1.892";"1.94";"";"";"";"";"10.66";"8.347";"";"";"";"";"0.752";"0.738";""
"resnet50v2_1024_std";"";"";"";"1.607";"2.274";"";"";"";"";"0.789";"0.771";"";"";"";"";"213.341";"201.188";"";"";"";"";"258.913";"259.115";"";"";"";"";"2.782";"2.613";""
"resnet50v2_1024_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"resnet50v2_512_mean";"";"";"";"0.243";"0.225";"";"";"";"";"0.112";"0.115";"";"";"";"";"1.091";"1.075";"";"";"";"";"8.237";"10.468";"";"";"";"";"0.416";"0.687";""
"resnet50v2_512_std";"";"";"";"1.091";"1.019";"";"";"";"";"0.553";"0.536";"";"";"";"";"159.265";"179.354";"";"";"";"";"226.738";"226.299";"";"";"";"";"1.488";"1.876";""
"resnet50v2_512_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"resnet50v2_256_mean";"";"";"";"0.127";"0.197";"";"";"";"";"0.065";"0.063";"";"";"";"";"0.701";"0.681";"";"";"";"";"11.242";"8.227";"";"";"";"";"0.279";"0.386";""
"resnet50v2_256_std";"";"";"";"0.602";"0.621";"";"";"";"";"0.436";"0.436";"";"";"";"";"160.411";"163.288";"";"";"";"";"209.491";"209.559";"";"";"";"";"0.896";"1.025";""
"resnet50v2_256_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"resnet50v2_128_mean";"";"";"";"0.114";"0.11";"";"";"";"";"0.039";"0.039";"";"";"";"";"0.538";"0.486";"";"";"";"";"6.909";"8.959";"";"";"";"";"0.182";"0.217";""
"resnet50v2_128_std";"";"";"";"0.339";"0.376";"";"";"";"";"0.387";"0.387";"";"";"";"";"142.421";"151.197";"";"";"";"";"200.554";"200.693";"";"";"";"";"2.11";"1.465";""
"resnet50v2_128_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"vgg16_512_mean";"";"";"";"0.118";"0.243";"";"";"";"";"0.082";"0.101";"";"";"";"";"1.21";"1.258";"";"";"";"";"8.756";"6.464";"";"";"";"";"0.417";"0.388";""
"vgg16_512_std";"";"";"";"0.598";"0.892";"";"";"";"";"0.807";"0.783";"";"";"";"";"155.76";"178.859";"";"";"";"";"200.981";"209.516";"";"";"";"";"1.481";"1.406";""
"vgg16_512_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"vgg16_256_mean";"";"";"";"0.131";"0.202";"";"";"";"";"0.065";"0.069";"";"";"";"";"0.701";"0.688";"";"";"";"";"10.795";"11.451";"";"";"";"";"0.286";"0.391";""
"vgg16_256_std";"";"";"";"0.587";"0.698";"";"";"";"";"0.419";"0.441";"";"";"";"";"159.812";"170.718";"";"";"";"";"209.423";"212.41";"";"";"";"";"0.944";"1.076";""
"vgg16_256_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"vgg16_128_mean";"";"";"";"0.077";"0.114";"";"";"";"";"0.042";"0.041";"";"";"";"";"0.496";"0.489";"";"";"";"";"11.341";"8.76";"";"";"";"";"0.194";"0.223";""
"vgg16_128_std";"";"";"";"0.301";"0.356";"";"";"";"";"0.375";"0.383";"";"";"";"";"159.17";"153.698";"";"";"";"";"200.598";"203.752";"";"";"";"";"0.836";"0.679";""
"vgg16_128_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
