"";"DecisionTreeClassifier_256_manual";"DecisionTreeClassifier_400_manual";"DecisionTreeClassifier_512_manual";"DecisionTreeClassifier_256_unet";"DecisionTreeClassifier_400_unet";"DecisionTreeClassifier_512_unet";"KNeighborsClassifier_256_manual";"KNeighborsClassifier_400_manual";"KNeighborsClassifier_512_manual";"KNeighborsClassifier_256_unet";"KNeighborsClassifier_400_unet";"KNeighborsClassifier_512_unet";"MLPClassifier_256_manual";"MLPClassifier_400_manual";"MLPClassifier_512_manual";"MLPClassifier_256_unet";"MLPClassifier_400_unet";"MLPClassifier_512_unet";"RandomForestClassifier_256_manual";"RandomForestClassifier_400_manual";"RandomForestClassifier_512_manual";"RandomForestClassifier_256_unet";"RandomForestClassifier_400_unet";"RandomForestClassifier_512_unet";"SVC_256_manual";"SVC_400_manual";"SVC_512_manual";"SVC_256_unet";"SVC_400_unet";"SVC_512_unet"
"resnet50v2_2048_top_k";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";""
"resnet50v2_1024_mean";"";"";"";"46,133";"";"";"";"";"";"56,267";"";"";"";"";"";"81,6";"";"";"";"";"";"62,933";"";"";"";"";"";"81,6";"";""
"resnet50v2_1024_std";"";"";"";"±0.052";"";"";"";"";"";"±0.045";"";"";"";"";"";"±0.023";"";"";"";"";"";"±0.027";"";"";"";"";"";"±0.034";"";""
"resnet50v2_1024_top_k";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";""
"resnet50v2_512_mean";"";"";"";"45,333";"";"";"";"";"";"62,133";"";"";"";"";"";"78,933";"";"";"";"";"";"69,867";"";"";"";"";"";"80,8";"";""
"resnet50v2_512_std";"";"";"";"±0.029";"";"";"";"";"";"±0.054";"";"";"";"";"";"±0.02";"";"";"";"";"";"±0.022";"";"";"";"";"";"±0.031";"";""
"resnet50v2_512_top_k";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";""
"resnet50v2_256_mean";"";"";"";"43,2";"";"";"";"";"";"70,133";"";"";"";"";"";"80,533";"";"";"";"";"";"72,267";"";"";"";"";"";"80,8";"";""
"resnet50v2_256_std";"";"";"";"±0.074";"";"";"";"";"";"±0.047";"";"";"";"";"";"±0.018";"";"";"";"";"";"±0.01";"";"";"";"";"";"±0.033";"";""
"resnet50v2_256_top_k";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";""
"resnet50v2_128_mean";"";"";"";"44,267";"";"";"";"";"";"71,2";"";"";"";"";"";"81,867";"";"";"";"";"";"76,0";"";"";"";"";"";"80,0";"";""
"resnet50v2_128_std";"";"";"";"±0.033";"";"";"";"";"";"±0.045";"";"";"";"";"";"±0.027";"";"";"";"";"";"±0.022";"";"";"";"";"";"±0.044";"";""
"resnet50v2_128_top_k";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";""
"vgg16_512_mean";"";"";"";"50,667";"53,333";"";"";"";"";"66,667";"73,067";"";"";"";"";"78,4";"82,133";"";"";"";"";"79,2";"81,067";"";"";"";"";"77,6";"84,267";""
"vgg16_512_std";"";"";"";"±0.078";"±0.045";"";"";"";"";"±0.038";"±0.061";"";"";"";"";"±0.034";"±0.059";"";"";"";"";"±0.026";"±0.041";"";"";"";"";"±0.026";"±0.045";""
"vgg16_512_top_k";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";""
"vgg16_256_mean";"";"";"";"52,0";"52,8";"";"";"";"";"68,267";"74,133";"";"";"";"";"79,467";"83,2";"";"";"";"";"72,533";"78,133";"";"";"";"";"77,6";"84,533";""
"vgg16_256_std";"";"";"";"±0.082";"±0.056";"";"";"";"";"±0.055";"±0.05";"";"";"";"";"±0.027";"±0.034";"";"";"";"";"±0.042";"±0.025";"";"";"";"";"±0.036";"±0.043";""
"vgg16_256_top_k";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";""
"vgg16_128_mean";"";"";"";"51,733";"52,0";"";"";"";"";"72,0";"75,467";"";"";"";"";"81,067";"80,8";"";"";"";"";"76,533";"80,0";"";"";"";"";"78,4";"84,533";""
"vgg16_128_std";"";"";"";"±0.03";"±0.022";"";"";"";"";"±0.072";"±0.06";"";"";"";"";"±0.049";"±0.046";"";"";"";"";"±0.042";"±0.04";"";"";"";"";"±0.044";"±0.037";""
"vgg16_128_top_k";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";""
