"mean_time_sec";"0.49175519943237306"
"mean_time_millisec";"491.75519943237305"
"mean_time_min";"0.00819591999053955"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.023469400710719557"
"mean_sum";"0.49333333333333335"
"mean_sum_per";"49.333"
"std_sum";"0.035777087639996624"
"mean_prod";"0.328"
"mean_prod_per";"32.8"
"std_prod";"0.021664102412362565"
"mean_max";"0.488"
"mean_max_per";"48.8"
"std_max";"0.0537318444789597"
"best_mean_rule";"sum"
"BEST_MEAN";"0.49333333333333335"
"BEST_MEAN_per";"49.333"
"best_mean_std";"0.035777087639996624"
"best_fold";"1"
"best_rule";"max"
"best_fold_accuracy";"0.5733333333333334"
"best_fold_accuracy_per";"57.333"
"best_params";"{'criterion': 'gini', 'max_depth': 100, 'splitter': 'best'}"
