"mean_time_sec";"0.03092041015625"
"mean_time_millisec";"30.92041015625"
"mean_time_min";"0.0005153401692708333"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0038461704027136765"
"mean_sum";"0.5786666666666667"
"mean_sum_per";"57.867"
"std_sum";"0.059389486536853574"
"mean_prod";"0.5519999999999999"
"mean_prod_per";"55.2"
"std_prod";"0.056944417344166984"
"mean_max";"0.6026666666666667"
"mean_max_per";"60.267"
"std_max";"0.05087675740890377"
"best_mean_rule";"max"
"BEST_MEAN";"0.6026666666666667"
"BEST_MEAN_per";"60.267"
"best_mean_std";"0.05087675740890377"
"best_fold";"3"
"best_rule";"max"
"best_fold_accuracy";"0.6666666666666666"
"best_fold_accuracy_per";"66.667"
"best_params";"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}"
