"mean_time_sec";"1.023748016357422"
"mean_time_millisec";"1023.748016357422"
"mean_time_min";"0.017062466939290366"
"mean_time_hour_min_sec";"00:00:01"
"std_time";"0.0012883234539304682"
"mean_sum";"0.7386666666666667"
"mean_sum_per";"73.867"
"std_sum";"0.01808621328833406"
"mean_prod";"0.7386666666666667"
"mean_prod_per";"73.867"
"std_prod";"0.01808621328833406"
"mean_max";"0.7386666666666667"
"mean_max_per";"73.867"
"std_max";"0.01808621328833406"
"best_mean_rule";"sum"
"BEST_MEAN";"0.7386666666666667"
"BEST_MEAN_per";"73.867"
"best_mean_std";"0.01808621328833406"
"best_fold";"1"
"best_rule";"max"
"best_fold_accuracy";"0.76"
"best_fold_accuracy_per";"76.0"
"best_params";"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 800}"
