"mean_time_sec";"1.148395872116089"
"mean_time_millisec";"1148.3958721160889"
"mean_time_min";"0.019139931201934815"
"mean_time_hour_min_sec";"00:00:01"
"std_time";"0.018621554588295293"
"mean_sum";"0.47733333333333333"
"mean_sum_per";"47.733"
"std_sum";"0.025854292572887103"
"mean_prod";"0.23200000000000004"
"mean_prod_per";"23.2"
"std_prod";"0.03330665599145812"
"mean_max";"0.344"
"mean_max_per";"34.4"
"std_max";"0.044141187619324944"
"best_mean_rule";"sum"
"BEST_MEAN";"0.47733333333333333"
"BEST_MEAN_per";"47.733"
"best_mean_std";"0.025854292572887103"
"best_fold";"2"
"best_rule";"sum"
"best_fold_accuracy";"0.5066666666666667"
"best_fold_accuracy_per";"50.667"
"best_params";"{'criterion': 'gini', 'max_depth': 100, 'splitter': 'best'}"
