"mean_time_sec";"0.011596250534057616"
"mean_time_millisec";"11.596250534057617"
"mean_time_min";"0.00019327084223429362"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.00037302003241072786"
"mean_sum";"0.9239422503281232"
"mean_sum_per";"92.394"
"std_sum";"0.01849504999819229"
"mean_prod";"0.9239422503281232"
"mean_prod_per";"92.394"
"std_prod";"0.01849504999819229"
"mean_max";"0.9239422503281232"
"mean_max_per";"92.394"
"std_max";"0.01849504999819229"
"best_mean_rule";"sum"
"BEST_MEAN";"0.9239422503281232"
"BEST_MEAN_per";"92.394"
"best_mean_std";"0.01849504999819229"
"best_fold";"1"
"best_rule";"max"
"best_fold_accuracy";"0.9515570934256056"
"best_fold_accuracy_per";"95.156"
"best_params";"{'criterion': 'gini', 'max_depth': 100, 'splitter': 'random'}"
