"mean_time_sec";"1.6950398921966552"
"mean_time_millisec";"1695.0398921966553"
"mean_time_min";"0.028250664869944254"
"mean_time_hour_min_sec";"00:00:01"
"std_time";"0.01817939711372701"
"mean_sum";"0.6160000000000001"
"mean_sum_per";"61.6"
"std_sum";"0.06162250671088715"
"mean_prod";"0.6106666666666667"
"mean_prod_per";"61.067"
"std_prod";"0.05681940200710004"
"mean_max";"0.5866666666666667"
"mean_max_per";"58.667"
"std_max";"0.06422183775355891"
"best_mean_rule";"sum"
"BEST_MEAN";"0.6160000000000001"
"BEST_MEAN_per";"61.6"
"best_mean_std";"0.06162250671088715"
"best_fold";"3"
"best_rule";"max"
"best_fold_accuracy";"0.7066666666666667"
"best_fold_accuracy_per";"70.667"
"best_params";"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 1000}"
