"";"DecisionTreeClassifier_256_manual";"DecisionTreeClassifier_256_unet";"DecisionTreeClassifier_400_unet";"DecisionTreeClassifier_512_unet";"KNeighborsClassifier_256_manual";"KNeighborsClassifier_256_unet";"KNeighborsClassifier_400_unet";"KNeighborsClassifier_512_unet";"MLPClassifier_256_manual";"MLPClassifier_256_unet";"MLPClassifier_400_unet";"MLPClassifier_512_unet";"RandomForestClassifier_256_manual";"RandomForestClassifier_256_unet";"RandomForestClassifier_400_unet";"RandomForestClassifier_512_unet";"SVC_256_manual";"SVC_256_unet";"SVC_400_unet";"SVC_512_unet";"KNeighborsClassifier_400_manual";"MLPClassifier_400_manual";"DecisionTreeClassifier_400_manual";"SVC_400_manual";"RandomForestClassifier_400_manual"
"surf128_128_std";"±0.06344201201797504";"±0.030868898407440597";"±0.059269628722381";"±0.03435759660460036";"±0.06902495522957218";"±0.030868898407440594";"±0.06531972647421809";"±0.047253453724451604";"±0.01600000000000002";"±0.04873511168665883";"±0.06477310827461932";"±0.049888765156985884";"±0.05198290317231448";"±0.04096611065529922";"±0.059269628722381014";"±0.0636657940603377";"±0.05170858514577417";"±0.024440403706431142";"±0.037142368739157654";"±0.04266666666666666";"±0.06139127697718048";"±0.040442002368274936";"±0.046188021535170064";"±0.07561305002004176";"±0.06196773353931868"
"mobilenetv2_1280_mean";"";"0.5093333333333334";"0.5413333333333333";"0.5573333333333333";"";"0.6773333333333333";"0.7120000000000001";"0.7653333333333333";"";"0.7466666666666666";"0.8266666666666665";"0.8213333333333332";"";"0.736";"0.7573333333333334";"0.784";"";"0.7546666666666667";"0.8186666666666668";"0.808";"";"";"";"";""
"mobilenetv2_1280_std";"";"±0.06871519320920065";"±0.08114732829174902";"±0.09480740711803291";"";"±0.07025034598570397";"±0.04266666666666663";"±0.045879068090894023";"";"±0.05198290317231446";"±0.03040467800264369";"±0.026127890589687227";"";"±0.06661331198291623";"±0.061042790092051186";"±0.052931821976744585";"";"±0.047403703559016463";"±0.04349201714746692";"±0.021664102412362565";"";"";"";"";""
"mobilenetv2_1024_mean";"";"0.4613333333333333";"0.4933333333333333";"0.5013333333333334";"";"0.6746666666666667";"0.7146666666666668";"0.76";"";"0.7573333333333332";"0.8346666666666666";"0.8053333333333332";"";"0.6293333333333333";"0.64";"0.6506666666666667";"";"0.7546666666666667";"0.8186666666666668";"0.808";"";"";"";"";""
"mobilenetv2_1024_std";"";"±0.04008879034232777";"±0.02666666666666668";"±0.04740370355901645";"";"±0.07135513685471816";"±0.044301993935563035";"±0.05198290317231447";"";"±0.03200000000000002";"±0.035377331097124265";"±0.03919183588453085";"";"±0.08061982110843184";"±0.08219218670625303";"±0.025854292572887107";"";"±0.047403703559016463";"±0.04349201714746692";"±0.021664102412362565";"";"";"";"";""
"mobilenetv2_512_mean";"";"0.4666666666666667";"0.528";"0.5120000000000001";"";"0.6960000000000001";"0.712";"0.7599999999999999";"";"0.7733333333333333";"0.8346666666666666";"0.8106666666666668";"";"0.6533333333333333";"0.6880000000000001";"0.72";"";"0.7546666666666666";"0.8240000000000001";"0.808";"";"";"";"";""
"mobilenetv2_512_std";"";"±0.030404678002643685";"±0.03222145592958553";"±0.027455013709298686";"";"±0.07418894796396562";"±0.027455013709298655";"±0.042163702135578414";"";"±0.04695151163109072";"±0.02745501370929865";"±0.03808761828556187";"";"±0.051294357497790245";"±0.06725077446889864";"±0.03476907949441411";"";"±0.04509742540076737";"±0.04079215610874227";"±0.028720878971384044";"";"";"";"";""
"mobilenetv2_256_mean";"";"0.4986666666666667";"0.49866666666666665";"0.5466666666666666";"";"0.6906666666666668";"0.736";"0.7866666666666666";"";"0.7413333333333334";"0.8186666666666668";"0.8053333333333332";"";"0.6906666666666668";"0.7066666666666667";"0.7573333333333333";"";"0.744";"0.8266666666666665";"0.8186666666666668";"";"";"";"";""
"mobilenetv2_256_std";"";"±0.026127890589687237";"±0.056316565551847664";"±0.055297176942207274";"";"±0.049459298642643736";"±0.03517574922206114";"±0.04695151163109068";"";"±0.04008879034232776";"±0.039191835884530846";"±0.036368484525295626";"";"±0.058057442818872616";"±0.06080935600528735";"±0.025854292572887117";"";"±0.03991101212558871";"±0.037712361663282526";"±0.03222145592958553";"";"";"";"";""
"mobilenetv2_128_mean";"";"0.496";"0.512";"0.5386666666666666";"";"0.688";"0.7253333333333334";"0.776";"";"0.7413333333333333";"0.8";"0.8026666666666668";"";"0.704";"0.7546666666666667";"0.7653333333333332";"";"0.7653333333333334";"0.8213333333333332";"0.8266666666666668";"";"";"";"";""
"mobilenetv2_128_std";"";"±0.051570878948836586";"±0.06777741347807378";"±0.04509742540076736";"";"±0.07283466817998754";"±0.03919183588453086";"±0.03900997023554081";"";"±0.046647615158762396";"±0.048442405665559886";"±0.038087618285561876";"";"±0.055553777749332435";"±0.05756542171979442";"±0.03435759660460034";"";"±0.05170858514577417";"±0.04430199393556305";"±0.027968235951204064";"";"";"";"";""
"resnet50v2_2048_mean";"";"0.48266666666666663";"0.56";"0.5306666666666666";"";"0.5866666666666667";"0.6773333333333333";"0.6933333333333335";"";"0.7706666666666667";"0.8373333333333333";"0.8773333333333333";"";"0.7226666666666667";"0.784";"0.7973333333333332";"";"0.7786666666666667";"0.8266666666666668";"0.8400000000000001";"";"";"";"";""
"resnet50v2_2048_std";"";"±0.04249967320135794";"±0.058423739467217704";"±0.05744175794276803";"";"±0.05399588461684421";"±0.05157087894883659";"±0.06639946452260656";"";"±0.04414118761932493";"±0.030868898407440625";"±0.022939534045446998";"";"±0.052255781179374496";"±0.027194770739161517";"±0.022939534045447005";"";"±0.05631656555184767";"±0.05333333333333335";"±0.027968235951204075";"";"";"";"";""
"resnet50v2_1024_mean";"";"0.42400000000000004";"0.496";"0.5733333333333334";"";"0.5786666666666667";"0.6986666666666668";"0.696";"";"0.7946666666666667";"0.8266666666666665";"0.8533333333333333";"";"0.6053333333333334";"0.656";"0.7013333333333334";"";"0.7786666666666667";"0.8266666666666668";"0.8400000000000001";"";"";"";"";""
"resnet50v2_1024_std";"";"±0.028472208672083495";"±0.04493946545694059";"±0.030404678002643674";"";"±0.05817979794472381";"±0.04008879034232775";"±0.06045751492669138";"";"±0.04008879034232776";"±0.042163702135578386";"±0.030404678002643674";"";"±0.06933333333333332";"±0.06974238309665078";"±0.03636848452529561";"";"±0.05631656555184767";"±0.05333333333333335";"±0.027968235951204075";"";"";"";"";""
"resnet50v2_512_mean";"";"0.47733333333333333";"0.5493333333333333";"0.5253333333333334";"";"0.632";"0.7013333333333334";"0.704";"";"0.7866666666666667";"0.8106666666666668";"0.8559999999999999";"";"0.6773333333333333";"0.6853333333333333";"0.7546666666666667";"";"0.7733333333333332";"0.8186666666666668";"0.8453333333333333";"";"";"";"";""
"resnet50v2_512_std";"";"±0.03309246305597563";"±0.03200000000000001";"±0.026127890589687237";"";"±0.03435759660460035";"±0.035377331097124265";"±0.07883597599517059";"";"±0.056568542494923824";"±0.033092463055975636";"±0.01959591794226544";"";"±0.04414118761932496";"±0.052391687211702655";"±0.06231104770958892";"";"±0.0613912769771805";"±0.019955506062794354";"±0.02324746103221693";"";"";"";"";""
"resnet50v2_256_mean";"";"0.44266666666666665";"0.5013333333333334";"0.6133333333333334";"";"0.688";"0.752";"0.7573333333333333";"";"0.7919999999999999";"0.8240000000000001";"0.8506666666666668";"";"0.7173333333333332";"0.744";"0.7653333333333332";"";"0.7706666666666667";"0.808";"0.8400000000000001";"";"";"";"";""
"resnet50v2_256_std";"";"±0.07561305002004176";"±0.05998518335574395";"±0.027968235951204044";"";"±0.05817979794472381";"±0.03919183588453085";"±0.04414118761932492";"";"±0.06344201201797503";"±0.02719477073916153";"±0.02585429257288709";"";"±0.04649492206443386";"±0.0508767574089038";"±0.04814792022738077";"";"±0.06714495099740891";"±0.010666666666666647";"±0.03040467800264367";"";"";"";"";""
"resnet50v2_128_mean";"";"0.496";"0.5466666666666666";"0.5893333333333334";"";"0.68";"0.7573333333333333";"0.7653333333333334";"";"0.808";"0.8213333333333332";"0.8373333333333333";"";"0.7306666666666667";"0.7706666666666667";"0.792";"";"0.7786666666666666";"0.8026666666666665";"0.8559999999999999";"";"";"";"";""
"resnet50v2_128_std";"";"±0.05866666666666667";"±0.07955431408094026";"±0.055553777749332414";"";"±0.05529717694220724";"±0.04165466493816882";"±0.05101633725255732";"";"±0.05756542171979439";"±0.02472964932132189";"±0.029694743268426808";"";"±0.03714236873915763";"±0.047253453724451604";"±0.03435759660460032";"";"±0.05878775382679628";"±0.024440403706431135";"±0.02585429257288709";"";"";"";"";""
"vgg16_512_mean";"";"0.536";"0.5866666666666667";"0.528";"";"0.6053333333333333";"0.7226666666666667";"0.7653333333333333";"";"0.776";"0.8320000000000001";"0.8666666666666668";"";"0.744";"0.8053333333333332";"0.7946666666666666";"";"0.7626666666666667";"0.8266666666666668";"0.8293333333333333";"";"";"";"";""
"vgg16_512_std";"";"±0.05157087894883656";"±0.053995884616844236";"±0.05170858514577418";"";"±0.07234485315333616";"±0.0330924630559756";"±0.041825032376955";"";"±0.04414118761932492";"±0.028720878971384044";"±0.020655911179772852";"";"±0.04079215610874228";"±0.03222145592958551";"±0.04266666666666669";"";"±0.022939534045447026";"±0.018856180831641263";"±0.03086889840744061";"";"";"";"";""
"vgg16_256_mean";"";"0.49333333333333335";"0.49866666666666665";"0.5146666666666667";"";"0.6213333333333333";"0.7226666666666667";"0.7706666666666666";"";"0.7813333333333334";"0.8346666666666668";"0.8373333333333335";"";"0.712";"0.7653333333333334";"0.768";"";"0.7626666666666667";"0.8026666666666668";"0.8400000000000001";"";"";"";"";""
"vgg16_256_std";"";"±0.04044200236827492";"±0.05031456603763522";"±0.03733333333333334";"";"±0.06564551266715292";"±0.03309246305597561";"±0.052931821976744564";"";"±0.02472964932132191";"±0.03636848452529562";"±0.02585429257288709";"";"±0.02745501370929868";"±0.023247461032216945";"±0.013597385369580734";"";"±0.03086889840744064";"±0.033092463055975636";"±0.027968235951204033";"";"";"";"";""
"vgg16_128_mean";"";"0.47733333333333333";"0.568";"0.5413333333333334";"";"0.6666666666666666";"0.7546666666666667";"0.768";"";"0.768";"0.8293333333333333";"0.8320000000000001";"";"0.7066666666666667";"0.7813333333333332";"0.7813333333333334";"";"0.76";"0.8373333333333333";"0.8186666666666668";"";"";"";"";""
"vgg16_128_std";"";"±0.03808761828556186";"±0.0656455126671529";"±0.07847434117099819";"";"±0.04462186808181737";"±0.0333066559914581";"±0.040088790342327776";"";"±0.02612789058968725";"±0.03714236873915766";"±0.043492017147466894";"";"±0.049888765156985856";"±0.032221455929585543";"±0.024729649321321875";"";"±0.032659863237109094";"±0.02585429257288709";"±0.013597385369580734";"";"";"";"";""
