"";"DecisionTreeClassifier_256_manual";"DecisionTreeClassifier_256_unet";"DecisionTreeClassifier_400_unet";"DecisionTreeClassifier_512_unet";"KNeighborsClassifier_256_manual";"KNeighborsClassifier_256_unet";"KNeighborsClassifier_400_unet";"KNeighborsClassifier_512_unet";"MLPClassifier_256_manual";"MLPClassifier_256_unet";"MLPClassifier_400_unet";"MLPClassifier_512_unet";"RandomForestClassifier_256_manual";"RandomForestClassifier_256_unet";"RandomForestClassifier_400_unet";"RandomForestClassifier_512_unet";"SVC_256_manual";"SVC_256_unet";"SVC_400_unet";"SVC_512_unet";"KNeighborsClassifier_400_manual";"MLPClassifier_400_manual";"DecisionTreeClassifier_400_manual";"SVC_400_manual";"RandomForestClassifier_400_manual"
"lbp_59_search_best_params";"0.6825952529907227";"0.6683804988861084";"0.06979012489318848";"0.6560580730438232";"0.09611749649047852";"0.10113215446472168";"0.09610414505004883";"0.10017108917236328";"4.716856002807617";"4.633060932159424";"4.734559059143066";"4.804357051849365";"19.612613201141357";"19.933208227157593";"20.200570583343506";"19.99319052696228";"0.10684537887573242";"0.11250185966491699";"0.09890627861022949";"0.10137367248535156";"0.09523701667785645";"4.786077260971069";"0.059517621994018555";"0.09691071510314941";"19.502908945083618"
"lbp_59_train_valid";"0.004690980911254883";"0.009308528900146485";"0.013387012481689452";"0.004440116882324219";"0.017034339904785156";"0.013568639755249023";"0.014875507354736328";"0.014278411865234375";"0.11635823249816894";"0.12622551918029784";"0.14276113510131835";"0.1771465301513672";"0.29200081825256347";"0.8224500179290771";"1.1403593063354491";"0.8484038352966309";"0.017333269119262695";"0.018254470825195313";"0.01818814277648926";"0.0181429386138916";"0.01549081802368164";"0.14022250175476075";"0.009956789016723634";"0.017896604537963868";"0.28393983840942383"
"surf64_257_search_best_params";"0.17467188835144043";"0.18170928955078125";"0.17865300178527832";"0.18587136268615723";"0.12395119667053223";"0.1218109130859375";"0.16236042976379395";"0.1259152889251709";"9.723883152008057";"9.628665924072266";"9.845638275146484";"9.833463668823242";"24.298705577850342";"24.490755796432495";"25.034467220306396";"24.47943687438965";"0.12510061264038086";"0.12824511528015137";"0.13333725929260254";"0.12713837623596191";"0.1316077709197998";"9.858763217926025";"0.17851495742797852";"0.14472484588623047";"24.211626768112183"
"surf64_257_train_valid";"0.04189953804016113";"0.0414886474609375";"0.041489171981811526";"0.043890953063964844";"0.014111900329589843";"0.014442062377929688";"0.015231609344482422";"0.01678619384765625";"0.2800575256347656";"0.1092383861541748";"0.14645237922668458";"0.01689157485961914";"0.5455074310302734";"0.7788506031036377";"1.331619644165039";"0.5551766872406005";"0.045511722564697266";"0.04113616943359375";"0.0417513370513916";"0.045357036590576175";"0.014565134048461914";"0.06862959861755372";"0.04162912368774414";"0.04132523536682129";"0.2707212448120117"
"surf64_256_search_best_params";"0.18595457077026367";"0.16862154006958008";"0.17155718803405762";"0.18854761123657227";"0.17080163955688477";"0.12575912475585938";"0.15725946426391602";"0.13187432289123535";"9.732722520828247";"9.567171335220337";"9.63543963432312";"9.767035484313965";"27.05766010284424";"27.42561650276184";"27.04844045639038";"27.430408239364624";"0.11327338218688965";"0.12405872344970703";"0.1366722583770752";"0.12001991271972656";"0.13037371635437012";"9.82796597480774";"0.13875913619995117";"0.1227560043334961";"27.527604341506958"
"surf64_256_train_valid";"0.04186367988586426";"0.027774333953857422";"0.029020261764526368";"0.04297175407409668";"0.0163088321685791";"0.015373992919921874";"0.016436243057250978";"0.016630887985229492";"0.11719403266906739";"0.10961709022521973";"0.06503329277038575";"0.07777118682861328";"0.8043807983398438";"1.3407582759857177";"0.7779722690582276";"1.1032186031341553";"0.044827938079833984";"0.04071893692016602";"0.042024993896484376";"0.04467101097106933";"0.016848993301391602";"0.06685142517089844";"0.006117439270019532";"0.04020814895629883";"1.3385427951812745"
"surf64_128_search_best_params";"0.10878753662109375";"0.11235380172729492";"0.10393381118774414";"0.10388946533203125";"0.11101531982421875";"0.138200044631958";"0.14883804321289062";"0.11023759841918945";"5.588314771652222";"5.604264497756958";"5.642666816711426";"5.596188068389893";"23.692858695983887";"24.106137990951538";"24.25725030899048";"23.6425359249115";"0.0871284008026123";"0.09145283699035645";"0.09641051292419434";"0.08453226089477539";"0.12685084342956543";"5.6298828125";"0.08583641052246094";"0.08532166481018066";"24.01826810836792"
"surf64_128_train_valid";"0.040568208694458006";"0.041443157196044925";"0.028691625595092772";"0.027280855178833007";"0.017594099044799805";"0.017438507080078124";"0.015981578826904298";"0.017439842224121094";"0.11688427925109864";"0.1085693359375";"0.06853671073913574";"0.07752704620361328";"0.8369970321655273";"1.3315458297729492";"1.3830390453338623";"0.7823041439056396";"0.040951776504516604";"0.039191675186157224";"0.041341638565063475";"0.04453058242797851";"0.01731390953063965";"0.06884593963623047";"0.007156801223754883";"0.04073190689086914";"1.3308246612548829"
"surf128_513_search_best_params";"0.30085253715515137";"0.3949546813964844";"0.36308813095092773";"0.3401057720184326";"0.21810078620910645";"0.26511645317077637";"0.21554088592529297";"0.2165508270263672";"23.49769639968872";"23.648827075958252";"23.89499258995056";"24.06152367591858";"27.11983871459961";"27.79575228691101";"27.83008599281311";"27.761723518371582";"0.28513574600219727";"0.2851090431213379";"0.28936195373535156";"0.2739603519439697";"0.2207787036895752";"23.937066078186035";"0.3942396640777588";"0.30744099617004395";"27.302809953689575"
"surf128_513_train_valid";"0.00943899154663086";"0.07842574119567872";"0.04944305419921875";"0.009785127639770509";"0.015277957916259766";"0.01461043357849121";"0.015551614761352538";"0.01510167121887207";"0.26648669242858886";"0.22851862907409667";"0.26877927780151367";"0.15204801559448242";"0.2781501770019531";"1.1045064449310302";"1.0256134510040282";"0.5334217548370361";"0.06458158493041992";"0.05968055725097656";"0.06503849029541016";"0.1350874423980713";"0.014920806884765625";"0.24756965637207032";"0.07353925704956055";"0.06431093215942382";"0.2727504253387451"
