"mean_time_sec";"0.04068427085876465"
"mean_time_millisec";"40.68427085876465"
"mean_time_min";"0.0006780711809794109"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0014601462201872934"
"mean_sum";"0.49866666666666665"
"mean_sum_per";"49.867"
"std_sum";"0.07135513685471816"
"mean_prod";"0.49866666666666665"
"mean_prod_per";"49.867"
"std_prod";"0.07135513685471816"
"mean_max";"0.49866666666666665"
"mean_max_per";"49.867"
"std_max";"0.07135513685471816"
"best_mean_rule";"sum"
"BEST_MEAN";"0.49866666666666665"
"BEST_MEAN_per";"49.867"
"best_mean_std";"0.07135513685471816"
"best_fold";"0"
"best_rule";"max"
"best_fold_accuracy";"0.56"
"best_fold_accuracy_per";"56.0"
"best_params";"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'best'}"
