"mean_time_sec";"0.09442505836486817"
"mean_time_millisec";"94.42505836486816"
"mean_time_min";"0.0015737509727478027"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.004205637736137832"
"mean_sum";"0.45600000000000007"
"mean_sum_per";"45.6"
"std_sum";"0.042499673201357946"
"mean_prod";"0.2853333333333333"
"mean_prod_per";"28.533"
"std_prod";"0.04509742540076737"
"mean_max";"0.4533333333333333"
"mean_max_per";"45.333"
"std_max";"0.05529717694220724"
"best_mean_rule";"sum"
"BEST_MEAN";"0.45600000000000007"
"BEST_MEAN_per";"45.6"
"best_mean_std";"0.042499673201357946"
"best_fold";"0"
"best_rule";"max"
"best_fold_accuracy";"0.5466666666666666"
"best_fold_accuracy_per";"54.667"
"best_params";"{'criterion': 'entropy', 'max_depth': 100, 'splitter': 'random'}"
