"mean_time_sec";"0.05250182151794434"
"mean_time_millisec";"52.501821517944336"
"mean_time_min";"0.0008750303586324056"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.016961858897332455"
"mean_sum";"0.6986666666666667"
"mean_sum_per";"69.867"
"std_sum";"0.05631656555184767"
"mean_prod";"0.5813333333333334"
"mean_prod_per";"58.133"
"std_prod";"0.055039379841467444"
"mean_max";"0.6373333333333333"
"mean_max_per";"63.733"
"std_max";"0.052255781179374475"
"best_mean_rule";"sum"
"BEST_MEAN";"0.6986666666666667"
"BEST_MEAN_per";"69.867"
"best_mean_std";"0.05631656555184767"
"best_fold";"1"
"best_rule";"sum"
"best_fold_accuracy";"0.8"
"best_fold_accuracy_per";"80.0"
"best_params";"{'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}"
