"mean_time_sec";"0.03555541038513184"
"mean_time_millisec";"35.555410385131836"
"mean_time_min";"0.0005925901730855307"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.03022457463424071"
"mean_sum";"0.704"
"mean_sum_per";"70.4"
"std_sum";"0.06276587891167903"
"mean_prod";"0.6906666666666667"
"mean_prod_per";"69.067"
"std_prod";"0.04873511168665883"
"mean_max";"0.6346666666666667"
"mean_max_per";"63.467"
"std_max";"0.050314566037635206"
"best_mean_rule";"sum"
"BEST_MEAN";"0.704"
"BEST_MEAN_per";"70.4"
"best_mean_std";"0.06276587891167903"
"best_fold";"1"
"best_rule";"sum"
"best_fold_accuracy";"0.8266666666666667"
"best_fold_accuracy_per";"82.667"
"best_params";"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}"
