"mean_time_sec";"1.2034556865692139"
"mean_time_millisec";"1203.4556865692139"
"mean_time_min";"0.020057594776153563"
"mean_time_hour_min_sec";"00:00:01"
"std_time";"0.008967339387590326"
"mean_sum";"0.7786666666666666"
"mean_sum_per";"77.867"
"std_sum";"0.05756542171979443"
"mean_prod";"0.7706666666666667"
"mean_prod_per";"77.067"
"std_prod";"0.055553777749332414"
"mean_max";"0.736"
"mean_max_per";"73.6"
"std_max";"0.04873511168665883"
"best_mean_rule";"sum"
"BEST_MEAN";"0.7786666666666666"
"BEST_MEAN_per";"77.867"
"best_mean_std";"0.05756542171979443"
"best_fold";"3"
"best_rule";"sum"
"best_fold_accuracy";"0.8666666666666667"
"best_fold_accuracy_per";"86.667"
"best_params";"{'activation': 'logistic', 'learning_rate_init': 0.01, 'momentum': 0.1, 'solver': 'sgd'}"
