"mean_time_sec";"0.024701023101806642"
"mean_time_millisec";"24.70102310180664"
"mean_time_min";"0.000411683718363444"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.014425556854182363"
"mean_sum";"0.76"
"mean_sum_per";"76.0"
"std_sum";"0.03476907949441413"
"mean_prod";"0.7306666666666667"
"mean_prod_per";"73.067"
"std_prod";"0.025854292572887076"
"mean_max";"0.7333333333333333"
"mean_max_per";"73.333"
"std_max";"0.03675746333890727"
"best_mean_rule";"sum"
"BEST_MEAN";"0.76"
"BEST_MEAN_per";"76.0"
"best_mean_std";"0.03476907949441413"
"best_fold";"0"
"best_rule";"sum"
"best_fold_accuracy";"0.8133333333333334"
"best_fold_accuracy_per";"81.333"
"best_params";"{'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}"
