"mean_time_sec";"0.17752995491027831"
"mean_time_millisec";"177.52995491027832"
"mean_time_min";"0.002958832581837972"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.003911237321611602"
"mean_sum";"0.5226666666666666"
"mean_sum_per";"52.267"
"std_sum";"0.07701082175036612"
"mean_prod";"0.304"
"mean_prod_per";"30.4"
"std_prod";"0.022939534045447"
"mean_max";"0.4720000000000001"
"mean_max_per";"47.2"
"std_max";"0.052391687211702676"
"best_mean_rule";"sum"
"BEST_MEAN";"0.5226666666666666"
"BEST_MEAN_per";"52.267"
"best_mean_std";"0.07701082175036612"
"best_fold";"0"
"best_rule";"sum"
"best_fold_accuracy";"0.6666666666666666"
"best_fold_accuracy_per";"66.667"
"best_params";"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'best'}"
