"mean_time_sec";"0.05902090072631836"
"mean_time_millisec";"59.02090072631836"
"mean_time_min";"0.0009836816787719726"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0014209679917041268"
"mean_sum";"0.4586666666666666"
"mean_sum_per";"45.867"
"std_sum";"0.006531972647421823"
"mean_prod";"0.2773333333333333"
"mean_prod_per";"27.733"
"std_prod";"0.03414999593297519"
"mean_max";"0.472"
"mean_max_per";"47.2"
"std_max";"0.029933259094191537"
"best_mean_rule";"max"
"BEST_MEAN";"0.472"
"BEST_MEAN_per";"47.2"
"best_mean_std";"0.029933259094191537"
"best_fold";"4"
"best_rule";"max"
"best_fold_accuracy";"0.52"
"best_fold_accuracy_per";"52.0"
"best_params";"{'criterion': 'entropy', 'max_depth': 100, 'splitter': 'random'}"
