"mean_time_sec";"0.3366837024688721"
"mean_time_millisec";"336.68370246887207"
"mean_time_min";"0.005611395041147868"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.004471289516304124"
"mean_sum";"0.4640000000000001"
"mean_sum_per";"46.4"
"std_sum";"0.049459298642643736"
"mean_prod";"0.27466666666666667"
"mean_prod_per";"27.467"
"std_prod";"0.01808621328833406"
"mean_max";"0.4746666666666667"
"mean_max_per";"47.467"
"std_max";"0.049602867300635387"
"best_mean_rule";"max"
"BEST_MEAN";"0.4746666666666667"
"BEST_MEAN_per";"47.467"
"best_mean_std";"0.049602867300635387"
"best_fold";"3"
"best_rule";"max"
"best_fold_accuracy";"0.5466666666666666"
"best_fold_accuracy_per";"54.667"
"best_params";"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'best'}"
