"mean_time_sec";"0.026372098922729494"
"mean_time_millisec";"26.372098922729492"
"mean_time_min";"0.0004395349820454916"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0008565554577784748"
"mean_sum";"0.6213333333333333"
"mean_sum_per";"62.133"
"std_sum";"0.04349201714746691"
"mean_prod";"0.6213333333333333"
"mean_prod_per";"62.133"
"std_prod";"0.04349201714746691"
"mean_max";"0.6213333333333333"
"mean_max_per";"62.133"
"std_max";"0.04349201714746691"
"best_mean_rule";"sum"
"BEST_MEAN";"0.6213333333333333"
"BEST_MEAN_per";"62.133"
"best_mean_std";"0.04349201714746691"
"best_fold";"3"
"best_rule";"max"
"best_fold_accuracy";"0.68"
"best_fold_accuracy_per";"68.0"
"best_params";"{'kernel': 'linear'}"
