"mean_time_sec";"0.04744830131530762"
"mean_time_millisec";"47.44830131530762"
"mean_time_min";"0.0007908050219217936"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.004476071246277017"
"mean_sum";"0.6666666666666666"
"mean_sum_per";"66.667"
"std_sum";"0.04044200236827494"
"mean_prod";"0.5146666666666667"
"mean_prod_per";"51.467"
"std_prod";"0.049602867300635387"
"mean_max";"0.6133333333333335"
"mean_max_per";"61.333"
"std_max";"0.03040467800264367"
"best_mean_rule";"sum"
"BEST_MEAN";"0.6666666666666666"
"BEST_MEAN_per";"66.667"
"best_mean_std";"0.04044200236827494"
"best_fold";"4"
"best_rule";"sum"
"best_fold_accuracy";"0.72"
"best_fold_accuracy_per";"72.0"
"best_params";"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}"
