"mean_time_sec";"0.050925683975219724"
"mean_time_millisec";"50.92568397521973"
"mean_time_min";"0.0008487613995869954"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.03225408117286496"
"mean_sum";"0.7173333333333333"
"mean_sum_per";"71.733"
"std_sum";"0.03714236873915766"
"mean_prod";"0.6933333333333334"
"mean_prod_per";"69.333"
"std_prod";"0.04844240566555986"
"mean_max";"0.688"
"mean_max_per";"68.8"
"std_max";"0.02745501370929866"
"best_mean_rule";"sum"
"BEST_MEAN";"0.7173333333333333"
"BEST_MEAN_per";"71.733"
"best_mean_std";"0.03714236873915766"
"best_fold";"1"
"best_rule";"sum"
"best_fold_accuracy";"0.76"
"best_fold_accuracy_per";"76.0"
"best_params";"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}"
