"mean_time_sec";"0.00873565673828125"
"mean_time_millisec";"8.73565673828125"
"mean_time_min";"0.00014559427897135416"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0008177716947406118"
"mean_sum";"0.5573333333333333"
"mean_sum_per";"55.733"
"std_sum";"0.044141187619324916"
"mean_prod";"0.5573333333333333"
"mean_prod_per";"55.733"
"std_prod";"0.044141187619324916"
"mean_max";"0.5573333333333333"
"mean_max_per";"55.733"
"std_max";"0.044141187619324916"
"best_mean_rule";"sum"
"BEST_MEAN";"0.5573333333333333"
"BEST_MEAN_per";"55.733"
"best_mean_std";"0.044141187619324916"
"best_fold";"4"
"best_rule";"max"
"best_fold_accuracy";"0.6133333333333333"
"best_fold_accuracy_per";"61.333"
"best_params";"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}"
