"mean_time_sec";"1.6945811748504638"
"mean_time_millisec";"1694.5811748504639"
"mean_time_min";"0.028243019580841064"
"mean_time_hour_min_sec";"00:00:01"
"std_time";"0.0107874630549347"
"mean_sum";"0.6426666666666666"
"mean_sum_per";"64.267"
"std_sum";"0.03900997023554077"
"mean_prod";"0.6506666666666667"
"mean_prod_per";"65.067"
"std_prod";"0.05017303392593806"
"mean_max";"0.5946666666666667"
"mean_max_per";"59.467"
"std_max";"0.02745501370929865"
"best_mean_rule";"prod"
"BEST_MEAN";"0.6506666666666667"
"BEST_MEAN_per";"65.067"
"best_mean_std";"0.05017303392593806"
"best_fold";"3"
"best_rule";"prod"
"best_fold_accuracy";"0.7066666666666667"
"best_fold_accuracy_per";"70.667"
"best_params";"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 1000}"
