"mean_time_sec";"0.5578198909759522"
"mean_time_millisec";"557.8198909759521"
"mean_time_min";"0.009296998182932536"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.008237166206972088"
"mean_sum";"0.7626666666666667"
"mean_sum_per";"76.267"
"std_sum";"0.03714236873915766"
"mean_prod";"0.7733333333333333"
"mean_prod_per";"77.333"
"std_prod";"0.032659863237109045"
"mean_max";"0.7226666666666667"
"mean_max_per";"72.267"
"std_max";"0.04414118761932492"
"best_mean_rule";"prod"
"BEST_MEAN";"0.7733333333333333"
"BEST_MEAN_per";"77.333"
"best_mean_std";"0.032659863237109045"
"best_fold";"0"
"best_rule";"prod"
"best_fold_accuracy";"0.8266666666666667"
"best_fold_accuracy_per";"82.667"
"best_params";"{'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 400}"
